,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
126,72728,CAMPTONVILLE ELEMENTARY,4.0,91.0,335.0,4.0,10.0,3.0,72.0,519.0,5287000.0,10186.9
127,61671,CANYON ELEMENTARY,2.0,7.0,47.0,4.0,0.0,0.0,12.0,72.0,700000.0,9722.22
128,62554,CAPAY JOINT UNION ELEMENTARY,0.0,82.0,104.0,1.0,0.0,0.0,5.0,192.0,1807000.0,9411.46
129,66464,CAPISTRANO UNIFIED,736.0,14113.0,30333.0,4019.0,112.0,73.0,4227.0,53613.0,237958000.0,4438.44
130,68007,CARDIFF ELEMENTARY,1.0,132.0,513.0,9.0,0.0,0.0,49.0,704.0,3181000.0,4518.47
131,73551,CARLSBAD UNIFIED,139.0,3079.0,6269.0,783.0,38.0,25.0,834.0,11167.0,50177000.0,4493.33
132,65987,CARMEL UNIFIED,9.0,463.0,1553.0,109.0,6.0,4.0,365.0,2509.0,12511000.0,4986.45
133,69146,CARPINTERIA UNIFIED,9.0,1659.0,516.0,43.0,10.0,1.0,31.0,2269.0,9074000.0,3999.12
134,75598,CARUTHERS UNIFIED,4.0,1202.0,138.0,76.0,6.0,2.0,14.0,1442.0,19239000.0,13341.89
135,69914,CASCADE UNION ELEMENTARY,20.0,244.0,635.0,72.0,70.0,6.0,33.0,1080.0,13052000.0,12085.19
136,64345,CASTAIC UNION,52.0,942.0,988.0,167.0,2.0,4.0,79.0,2234.0,18963000.0,8488.36
137,69922,CASTLE ROCK UNION ELEMENTARY,2.0,9.0,30.0,0.0,3.0,0.0,6.0,50.0,678000.0,13560.0
138,61150,CASTRO VALLEY UNIFIED,532.0,2239.0,2689.0,2783.0,23.0,39.0,1027.0,9332.0,117234000.0,12562.58
139,68726,CAYUCOS ELEMENTARY,0.0,47.0,138.0,5.0,0.0,0.0,21.0,211.0,1267000.0,6004.74
140,73973,CENTER JOINT UNIFIED,489.0,1144.0,2063.0,421.0,39.0,42.0,278.0,4476.0,45754000.0,10222.07
141,64352,CENTINELA VALLEY UNION HIGH,1236.0,5495.0,230.0,248.0,14.0,67.0,233.0,7523.0,82042000.0,10905.49
142,67645,CENTRAL ELEMENTARY,467.0,2348.0,1260.0,324.0,4.0,26.0,110.0,4539.0,47445000.0,10452.74
143,73965,CENTRAL UNIFIED,1439.0,9166.0,2527.0,2255.0,96.0,44.0,245.0,15772.0,172589000.0,10942.75
144,63883,CENTRAL UNION ELEMENTARY,128.0,663.0,598.0,81.0,131.0,14.0,162.0,1777.0,25767000.0,14500.28
145,63115,CENTRAL UNION HIGH,37.0,3871.0,159.0,41.0,5.0,1.0,5.0,4119.0,52965000.0,12858.7
146,66472,CENTRALIA ELEMENTARY,123.0,2361.0,662.0,1082.0,15.0,25.0,149.0,4417.0,44284000.0,10025.81
147,71043,CERES UNIFIED,243.0,10968.0,2147.0,796.0,74.0,114.0,140.0,14482.0,168880000.0,11661.37
148,67652,CHAFFEY JOINT UNION HIGH,1919.0,15213.0,4043.0,1940.0,93.0,108.0,578.0,23894.0,273438000.0,11443.79
149,64378,CHARTER OAK UNIFIED,147.0,3249.0,957.0,357.0,24.0,16.0,146.0,4896.0,52553000.0,10733.86
150,71050,CHATOM UNION,0.0,403.0,184.0,0.0,0.0,0.0,14.0,601.0,5790000.0,9633.94
151,75606,CHAWANAKEE UNIFIED,18.0,207.0,668.0,13.0,109.0,1.0,38.0,1054.0,9705000.0,9207.78
152,66316,CHICAGO PARK ELEMENTARY,0.0,23.0,140.0,4.0,3.0,0.0,12.0,182.0,2068000.0,11362.64
153,61424,CHICO UNIFIED,359.0,3274.0,8429.0,831.0,221.0,71.0,766.0,13951.0,124786000.0,8944.59
154,67678,CHINO VALLEY UNIFIED,952.0,16518.0,5197.0,5478.0,24.0,63.0,654.0,28886.0,282297000.0,9772.8
155,65193,CHOWCHILLA ELEMENTARY,41.0,1428.0,644.0,45.0,8.0,4.0,33.0,2203.0,23314000.0,10582.84
